Miseq_run,sample,Hash,nReads
1,CI_Ac_6_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,153
1,PG_Al_10_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,8886
1,PG_Ac_10_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12391
1,PG_Ac_10_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,7547
1,PG_Ac_10_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13536
1,CI_Eg_0_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,2
1,PG_Al_6_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13464
1,PG_Al_6_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12447
1,PG_Eg_0_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,11134
1,PG_Al_1_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13218
1,PG_Ac_15_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16536
1,PG_Ac_15_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12076
1,PG_Ac_6_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13558
1,PG_Al_10_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16635
1,PG_Ac_15_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,24814
1,PG_Eg_0_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16306
1,PG_Ba_50_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12045
1,PG_Al_3_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12605
1,PG_Al_15_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,10630
1,PG_Ac_3_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,18335
1,PG_Ac_1_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13084
1,PG_Ac_3_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13840
1,CI_Ba_50_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,118
1,PG_Ba_50_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,6204
1,PG_Al_15_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,9493
1,PG_Eg_0_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,11726
1,CI_Al_6_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,5
1,CI_Al_3_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,17
1,PG_Ac_6_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16003
1,PG_Al_15_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,8161
1,PG_Ac_6_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16900
1,PG_Al_1_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,14027
1,PG_Al_3_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,14148
