,Kingdom,Phylum,Class,Order,Family
1,Eubacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
2,Dinoflagellates,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae
3,Dinoflagellates,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae
4,Dinoflagellates,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae
5,Dinoflagellates,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniales
6,Fungi,Fungi,Fungi,Fungi,Fungi
7,Fungi,Ascomycota,Ascomycota,Ascomycota,Ascomycota
8,Fungi,Ascomycota,Ascomycota,Ascomycota,Ascomycota
9,Fungi,Ascomycota,Ascomycota,Ascomycota,Ascomycota
10,Metazoa,Metazoa,Metazoa,Metazoa,Metazoa
11,Metazoa,Metazoa,Metazoa,Metazoa,Metazoa
12,Metazoa,Metazoa,Metazoa,Metazoa,Metazoa
13,Metazoa,Chordata,Chordata,Chordata,Chordata
14,Metazoa,Chordata,Actinopteri,Actinopteri,Actinopteri
15,Metazoa,Chordata,Actinopteri,Actinopteri,Actinopteri
16,Metazoa,Chordata,Actinopteri,Actinopteri,Actinopteri
17,Metazoa,Chordata,Actinopteri,Perciformes,Perciformes
18,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae
19,Metazoa,Chordata,Mammalia,Mammalia,Mammalia
20,Metazoa,Chordata,Mammalia,Diprotodontia,Macropodidae
21,Metazoa,Chordata,Chordata,Chordata,Chordata
22,Metazoa,Chordata,Aves,Struthioniformes,Struthionidae
23,Metazoa,Echinodermata,Echinodermata,Echinodermata,Echinodermata
24,Metazoa,Echinodermata,Echinodermata,Echinodermata,Echinodermata
25,Metazoa,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae
26,Metazoa,Metazoa,Metazoa,Metazoa,Metazoa
27,Metazoa,Arthropoda,Arthropoda,Arthropoda,Arthropoda
28,Metazoa,Arthropoda,Arthropoda,Arthropoda,Arthropoda
29,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanoida
30,Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae
31,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae
32,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae
33,Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae
34,Metazoa,Arthropoda,Hexanauplia,Hexanauplia,Hexanauplia
35,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Harpacticoida
36,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Harpacticoida
37,Metazoa,Arthropoda,Hexanauplia,Sessilia,Sessilia
38,Metazoa,Arthropoda,Hexanauplia,Sessilia,Balanidae
39,Metazoa,Arthropoda,Malacostraca,Malacostraca,Malacostraca
40,Metazoa,Arthropoda,Malacostraca,Decapoda,Decapoda
41,Metazoa,Arthropoda,Malacostraca,Decapoda,Decapoda
42,Metazoa,Arthropoda,Malacostraca,Amphipoda,Amphipoda
43,Metazoa,Arthropoda,Malacostraca,Amphipoda,Amphipoda
44,Metazoa,Arthropoda,Malacostraca,Amphipoda,Corophiidae
45,Metazoa,Arthropoda,Insecta,Insecta,Insecta
46,Metazoa,Arthropoda,Insecta,Insecta,Insecta
47,Metazoa,Arthropoda,Insecta,Insecta,Insecta
48,Metazoa,Arthropoda,Insecta,Diptera,Diptera
49,Metazoa,Arthropoda,Insecta,Diptera,Diptera
50,Metazoa,Arthropoda,Insecta,Diptera,Diptera
51,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae
52,Metazoa,Metazoa,Metazoa,Metazoa,Metazoa
53,Metazoa,Annelida,Clitellata,Clitellata,Clitellata
54,Metazoa,Annelida,Clitellata,Haplotaxida,Naididae
55,Metazoa,Annelida,Polychaeta,Polychaeta,Polychaeta
56,Metazoa,Annelida,Polychaeta,Polychaeta,Polychaeta
57,Metazoa,Annelida,Polychaeta,Phyllodocida,Phyllodocida
58,Metazoa,Annelida,Polychaeta,Phyllodocida,Glyceridae
59,Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae
60,Metazoa,Annelida,Polychaeta,Polychaeta,Polychaeta
61,Metazoa,Annelida,Polychaeta,Polychaeta,Orbiniidae
62,Metazoa,Mollusca,Mollusca,Mollusca,Mollusca
63,Metazoa,Mollusca,Bivalvia,Myoida,Myoida
64,Metazoa,Mollusca,Bivalvia,Veneroida,Veneroida
65,Metazoa,Mollusca,Bivalvia,Veneroida,Tellinidae
66,Metazoa,Mollusca,Bivalvia,Veneroida,Veneridae
67,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae
68,Metazoa,Mollusca,Bivalvia,Ostreoida,Ostreidae
69,Metazoa,Mollusca,Gastropoda,Gastropoda,Gastropoda
70,Metazoa,Mollusca,Gastropoda,Gastropoda,Gastropoda
71,Metazoa,Mollusca,Gastropoda,Cephalaspidea,Cephalaspidea
72,Metazoa,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae
73,Metazoa,Mollusca,Gastropoda,Gastropoda,Limapontiidae
74,Metazoa,Nemertea,Nemertea,Nemertea,Nemertea
75,Metazoa,Cnidaria,Cnidaria,Cnidaria,Cnidaria
76,Metazoa,Cnidaria,Hydrozoa,Hydrozoa,Hydrozoa
77,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Anthoathecata
