sample,Hash,nReads
CI_Ac_6_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,169
CI_Al_1_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,17
PG_Al_10_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,8902
PG_Ac_10_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12410
PG_Ac_10_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,7564
PG_Ac_10_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13552
CI_Eg_0_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,15
PG_Al_6_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13484
CI_Al_3_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,6
CI_Ac_15_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,18
PG_Al_6_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12463
PG_Eg_0_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,11156
PG_Al_1_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13242
CI_Al_10_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,17
PG_Ac_15_Jul_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16559
PG_Ac_15_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12096
CI_Ac_3_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,10
PG_Ac_6_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,13580
CI_Ac_10_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,3
PG_Al_10_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16664
PG_Ac_15_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,24836
PG_Eg_0_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,16326
CI_Ac_1_Jul_A_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,6
PG_Ba_50_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,12066
NA_NA_NA_NA_B_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,14
CI_Ac_1_Jul_C_r1,a08461e3c636c8a6c80564fa785e36938ce0d37b,7
