input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
48632,47297,25559,24832,45821,23625,42509,21857,42509,21857,64366,58325
65837,63639,35364,34258,62151,33110,57813,30676,57813,30676,88489,73159
49696,45172,32225,29316,43814,28487,40419,26231,40419,26231,66650,61079
61080,58959,39788,38407,57349,37267,51936,33553,51936,33553,85489,70038
49934,48083,27604,26594,46877,25840,43736,24311,43736,24311,68047,64273
50550,48196,29852,28434,46464,27363,41647,24573,41647,24573,66220,57954
44309,42309,20925,19955,41556,19412,39393,18112,39393,18112,57505,49161
40375,38799,42141,40738,37845,39817,35388,37636,35388,37636,73024,60343
60083,58644,37247,36405,56814,35144,51896,32309,51896,32309,84205,75403
79155,65658,53965,44347,64473,43277,60958,40934,60958,40934,101892,84672
69807,59237,45026,37758,58057,36460,54930,34182,54930,34182,89112,77186
52296,49335,30019,28055,47806,27231,43206,24504,43206,24504,67710,58485
76613,68469,40206,35734,66868,34744,62225,32224,62225,32224,94449,83730
77660,74709,41212,39674,72867,38338,67276,35098,67276,35098,102374,89139
64714,61435,41466,39398,60254,38423,56806,36326,56806,36326,93132,79473
75189,73179,48370,46983,70958,45594,64393,41030,64393,41030,105423,85731
66290,57568,36439,31222,56170,30344,52256,28483,52256,28483,80739,73812
78017,74495,45366,43324,72411,41845,67118,39327,67118,39327,106445,92655
75706,73991,34704,33918,71956,32684,65566,29482,65566,29482,95048,80954
60716,55380,61766,57176,54286,56041,51112,53065,51112,53065,104177,83854
93330,78308,58037,47847,76142,46625,71610,44035,71610,44035,115645,100348
89566,86624,59574,57674,84743,56190,77485,51476,77485,51476,128961,109771
84160,79144,52962,49657,77493,47991,69833,42423,69833,42423,112256,82221
69379,61258,40183,35191,59771,34450,55580,31876,55580,31876,87456,74614
87435,61956,45667,31180,60637,30227,57227,28437,57227,28437,85664,79180
66487,62138,34834,32427,60950,31701,57374,29671,57374,29671,87045,78570
75783,52337,49462,33313,51233,32418,48696,30955,48696,30955,79651,70641
71370,60876,45963,39851,60773,39744,58146,38591,58146,38591,96737,85269
53990,52525,28480,27647,51277,26713,48199,25111,48199,25111,73310,67913
75183,72314,42920,41252,70582,40039,66709,37819,66709,37819,104528,88423
77744,75420,34675,33512,74336,32816,71238,30962,71238,30962,102200,93793
46751,43705,46823,44185,42522,42817,39411,39899,39411,39899,79310,67772
91955,71362,56852,43112,69535,41893,65673,39574,65673,39574,105247,93263
93812,79007,62155,51666,75921,49408,69228,44551,69228,44551,113779,103658
56762,52439,34946,32179,52104,31771,51132,30917,51132,30917,82049,77476
77333,68538,44228,38744,67498,38263,64997,36850,64997,36850,101847,92153
67340,52897,35139,26944,51943,26315,49609,25225,49609,25225,74834,65994
75249,72832,39270,38040,71111,36704,65222,33441,65222,33441,98663,84164
70377,51503,45758,32485,51013,32158,49820,31385,49820,31385,81205,74711
65805,63830,41921,40686,62359,39265,59061,37044,59061,37044,96105,82146
59880,52736,32479,28201,52084,27724,49855,26706,49855,26706,76561,72888
79354,75967,45552,43516,72647,41411,65552,37270,65552,37270,102822,91268
67702,65420,30955,29890,64067,28981,59521,26790,59521,26790,86311,74770
61710,46338,60650,48033,45215,47005,42567,44868,42567,44868,87435,76320
74222,51962,42897,29133,51856,29013,50361,28145,50361,28145,78506,73140
51248,49434,33875,32658,48569,31941,46081,30162,46081,30162,76243,65958
171280,30490,114937,18713,29981,18222,29287,17652,29287,17652,46939,46312
79705,74691,44867,41704,72518,40375,65741,36331,65741,36331,102072,82909
50006,47782,25106,23911,46654,23145,44103,21834,44103,21834,65937,58570
60699,58375,31626,30318,56268,28789,51592,26287,51592,26287,77879,72401
69906,51590,45053,32487,50267,31333,46593,29338,46593,29338,75931,67272
83467,69103,54582,44656,66920,43194,60807,39239,60807,39239,100046,84870
52830,32091,30237,17940,31864,17806,31331,17347,31331,17347,48678,44762
70916,64735,40330,36630,63103,35459,58867,33032,58867,33032,91899,81017
68016,62132,30532,27568,60562,26514,56753,24684,56753,24684,81437,69597
39112,37819,39001,37876,36538,36563,33844,33903,33844,33903,67747,57463
70629,66708,42792,40447,64486,39182,59151,36102,59151,36102,95253,85865
71504,68321,46830,44626,67100,43909,63288,41689,63288,41689,104977,88998
55996,52913,34486,32539,51779,31576,47755,28689,47755,28689,76444,69811
91292,66473,53372,37687,64950,36658,61332,34655,61332,34655,95987,79243
44777,43533,23234,22584,42081,21614,38775,19761,38775,19761,58536,53454
54548,53024,29089,28228,52076,27462,48975,25666,48975,25666,74641,60794
63541,49044,41222,31272,47552,30213,43452,27604,43452,27604,71056,64149
119906,69009,80994,44948,67522,43893,62311,40273,62311,40273,102584,87203
43089,42037,23775,23152,40965,22381,38590,21058,38590,21058,59648,52885
68529,61074,40647,35983,59014,34857,53313,31270,53313,31270,84583,72298
55932,54369,26101,25380,52778,24323,49254,22165,49254,22165,71419,61323
45019,39441,44751,40033,38034,38588,35036,36060,35036,36060,71096,60481
65393,61464,40717,38334,59412,37181,54240,34108,54240,34108,88348,78721
49106,38124,33557,26394,37836,26197,36232,25464,36232,25464,61696,55062
56532,42894,36069,26939,41997,26073,40118,24721,40118,24721,64839,55639
56984,53025,32650,30215,51671,29372,48535,27419,48535,27419,75954,61691
