sample,Hash,nReads
NR_Eg_0_Jul_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,44169
NR_Eg_0_Aug_A_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,11944
CI_Ba_50_May_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,164
CI_Eg_0_Jul_B_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,112
SK_Eg_0_Aug_A_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,4
NR_Ba_50_Jul_B_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,25104
SK_Ba_50_Jul_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,8
CI_Al_15_Jul_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,6993
PG_Eg_0_May_A_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,1078
CI_Ba_50_May_B_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,79
NR_Ba_50_May_A_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,12240
NA_NA_NA_NA_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,7
NR_Eg_0_May_B_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,2321
NR_Ba_50_Aug_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,19416
PG_Ba_50_May_B_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,1542
CI_Eg_0_Aug_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,22225
CI_Eg_0_May_A_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,316
NR_Eg_0_May_C_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,2762
PG_Ba_50_Jul_A_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,3851
NR_Eg_0_Jul_B_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,25870
PG_Eg_0_Aug_B_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,207
SK_Eg_0_Jul_A_r2,3e967b2cb1139cdab2f062fe0005898007a2d247,8
