sample,Hash,nReads
PG_Al_10_Aug_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,40856
CI_Al_1_Aug_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,23
CI_Al_15_May_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,35
CI_Al_6_Aug_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,52
PG_Al_1_Aug_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,32489
NA_NA_NA_NA_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,16
PG_Al_6_Aug_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,33827
PG_Al_10_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,20623
CI_Al_3_May_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,34
CI_Al_10_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,25
PG_Al_1_Aug_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,71978
PG_Al_15_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,30901
PG_Al_1_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,21949
PG_Al_3_Aug_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,37577
PG_Al_3_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,30973
CI_Al_1_Aug_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,25
NA_NA_NA_NA_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,25384
CI_Al_1_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,16
PG_Al_10_Aug_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,27733
PG_Al_15_Aug_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,47352
PG_Al_6_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,42037
PG_Al_15_Aug_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,57053
CI_Al_15_May_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,32
CI_Al_15_Aug_C_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,61
PG_Al_3_Aug_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,29142
CI_Al_15_May_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,46
CI_Al_10_Aug_A_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,23
CI_Al_10_Aug_B_r3,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,27
PG_Al_10_Aug_A_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,20
CI_Al_15_Aug_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,22
CI_Al_3_May_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,23669
CI_Al_1_May_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,43717
CI_Al_6_Aug_A_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,16
CI_Al_6_Aug_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,38
NA_NA_NA_NA_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,9
PG_Al_6_May_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,10
CI_Al_3_May_A_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,15897
CI_Al_3_May_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,8546
CI_Al_10_May_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,22970
CI_Al_10_May_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,15005
PG_Al_1_May_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,8
PG_Al_15_Aug_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,40
PG_Al_3_Aug_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,50
PG_Al_3_Aug_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,17
PG_Al_1_May_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,13
CI_Al_6_May_A_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,85465
CI_Al_1_Aug_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,43
CI_Al_1_May_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,14307
CI_Al_6_Aug_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,16
PG_Al_15_Aug_B_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,24
CI_Al_6_May_C_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,53386
PG_Al_15_Aug_A_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,26
CI_Al_1_May_A_r3,3716ec47a8a97109791958586e9248bd6dbf10d2,29920
